Regrouped Industry,Value
Total,6089
Services,63
Services,56
Services,6
Services,5
Services,2
Services,3
Mining and quarrying of stone and gravel,2
Construction,404
Manufacturing,1021
Manufacturing,129
Manufacturing,14
Manufacturing,35
Manufacturing,13
Manufacturing,11
Manufacturing,20
Manufacturing,35
Manufacturing,72
Manufacturing,4
Manufacturing,44
Manufacturing,15
Manufacturing,2
Manufacturing,30
Manufacturing,26
Manufacturing,19
Manufacturing,93
Manufacturing,41
Manufacturing,69
Manufacturing,28
Manufacturing,71
Manufacturing,66
Manufacturing,19
Manufacturing,128
Manufacturing,37
"Electricity, Gas, Heat supply and Water",29
Information and communications,271
Information and communications,23
Information and communications,6
Information and communications,194
Information and communications,21
Information and communications,27
Transport and postal activities,323
Transport and postal activities,22
Transport and postal activities,37
Transport and postal activities,176
Transport and postal activities,6
Transport and postal activities,6
Transport and postal activities,28
Transport and postal activities,35
Transport and postal activities,12
Wholesale and retail trade,978
Wholesale and retail trade,294
Wholesale and retail trade,41
Uncategorized,53
Uncategorized,256
Wholesale and retail trade,86
Wholesale and retail trade,248
Finance and Insurance,157
Real estate and goods rental and leasing,122
Real estate and goods rental and leasing,94
Real estate and goods rental and leasing,28
"Scientific research, professional and technical services",200
"Scientific research, professional and technical services",21
"Scientific research, professional and technical services",79
"Scientific research, professional and technical services",17
"Scientific research, professional and technical services",82
Accommodations,356
Accommodations,57
Accommodations,236
Accommodations,63
Living-related and personal services and amusement services,175
Living-related and personal services and amusement services,62
Living-related and personal services and amusement services,37
Living-related and personal services and amusement services,76
"Education, learning support",318
"Education, learning support",243
"Education, learning support",75
Uncategorized,868
"Medical, health care and welfare",398
"Medical, health care and welfare",13
"Medical, health care and welfare",458
Compound services,46
Compound services,25
Compound services,21
Services,424
Services,34
Services,24
Services,20
Services,37
Services,254
Services,31
Services,15
Services,6
Services,2
Services,243
Services,65
Services,178
Services,86
Uncategorized,3289
Services,36
Services,30
Services,6
Services,3253
Services,4
Services,2
Services,2
Mining and quarrying of stone and gravel,1
Construction,322
Manufacturing,723
Manufacturing,61
Manufacturing,9
Manufacturing,16
Manufacturing,10
Manufacturing,8
Manufacturing,14
Manufacturing,22
Manufacturing,49
Manufacturing,3
Manufacturing,32
Manufacturing,11
Manufacturing,1
Manufacturing,23
Manufacturing,23
Manufacturing,16
Manufacturing,70
Manufacturing,34
Manufacturing,56
Manufacturing,19
Manufacturing,53
Manufacturing,49
Manufacturing,14
Manufacturing,106
Manufacturing,24
"Electricity, Gas, Heat supply and Water",22
Information and communications,184
Information and communications,16
Information and communications,4
Information and communications,137
Information and communications,11
Information and communications,16
Transport and postal activities,254
Transport and postal activities,19
Transport and postal activities,33
Transport and postal activities,144
Transport and postal activities,5
Transport and postal activities,3
Transport and postal activities,17
Transport and postal activities,23
Transport and postal activities,10
Wholesale and retail trade,462
Wholesale and retail trade,185
Wholesale and retail trade,12
Uncategorized,13
Uncategorized,90
Wholesale and retail trade,64
Wholesale and retail trade,98
Finance and Insurance,68
Real estate and goods rental and leasing,71
Real estate and goods rental and leasing,53
Real estate and goods rental and leasing,18
"Scientific research, professional and technical services",122
"Scientific research, professional and technical services",15
"Scientific research, professional and technical services",39
"Scientific research, professional and technical services",10
"Scientific research, professional and technical services",59